idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전북,1,에코스테이,Ecostay Hotel,모텔,3급,,세병서로 8-27,8.1,,,,,https://hotels.naver.com/KR1000019/hotels/N4713166?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전북,2,정읍 더 설,Jeongeup The Seol,모텔,1급,,전라북도 정읍시 중앙로 205,8.1,,,,,https://hotels.naver.com/KR1000019/hotels/KYK9355394?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전북,3,남원 홍콩,Namwon Hong Kong,모텔,3급,,전북특별자치도 남원시 충정로 235 (올인),8.9,,,,http://27983.ministay.me/,https://hotels.naver.com/KR1000019/hotels/KYK7232961?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전북,4,굿스테이 아리랑 호텔,Arirang Hotel,모텔,3급,063-273-4194,용산2길 17-6,8.7,,3.8,,http://0632734193.tshome.co.kr/,https://hotels.naver.com/KR1000019/hotels/N1820671?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전북,5,Le Ciel Hotel,,모텔,3급,,대한민국 전라북도 전주 덕진구,,,,,,https://hotels.naver.com/KR1000019/hotels/KYK442209?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전북,6,전주 중화산동 Q,Jeonju Junghwasan-dong Q,모텔,3급,063-236-9082,한두평 1길 12,6.3,,,,,https://hotels.naver.com/KR1000019/hotels/N5281209?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전북,7,전주 신시가지 호텔모아,Jeonju Sinsigaji Hotel Moa,모텔,3급,,전북특별자치도 전주시 완산구 홍산북로 80,9,,,,,https://hotels.naver.com/KR1000019/hotels/KYK8092754?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전북,8,와이케이호텔,Jeonju Deokjin-dong Hotel Waikei,모텔,3급,,명륜5길 10-2,8.8,,,,https://booking.naver.com/booking/3/bizes/200495,https://hotels.naver.com/KR1000019/hotels/N5279790?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전북,9,모텔하루,Gunsan Haru,모텔,3급,,가도안2길 82,9,,,,,https://hotels.naver.com/KR1000019/hotels/N5284556?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전북,10,스위트허브비즈니스텔,Jeonju Junghwasan-Dong Mh Hotel,모텔,3급,,어은로 12-6,8.6,,,,,https://hotels.naver.com/KR1000019/hotels/N5283437?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,전북,11,군산 피아노 모텔,Gunsan Hotel 1945,모텔,3급,063-464-5201,부곡4길 22-5,8.8,,,,http://1945hotel.jalib.site/,https://hotels.naver.com/KR1000019/hotels/N3659750?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,전북,12,H모텔,Gunsan H,모텔,3급,,죽성로 33-5,8.9,,,,,https://hotels.naver.com/KR1000019/hotels/N5284547?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,전북,13,고창 아리랑 호텔,Gochang Arirang Hotel,모텔,1급,,전북특별자치도 고창군 고창읍 월곡6길 6 (아리랑모텔),8.4,,,,,https://hotels.naver.com/KR1000019/hotels/KYK1070534787?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,전북,14,마리호텔 공원점,Jeonju Deokjin Park Hotel Mari,모텔,3급,,덕진연못3길 9-5,9.2,,,,http://www.mari-hotel.co.kr/,https://hotels.naver.com/KR1000019/hotels/N4738293?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
