idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전북,1,전주 중노송동 파인,Jeonju Pine,민박(Inn),1급,,전북특별자치도 전주시 완산구 현무3길 54 (파인모텔),9.2,,,,,https://hotels.naver.com/KR1000019/hotels/KYK9030524?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전북,2,"D-drive in Ua-dong, Jeonju",,민박(Inn),1급,,대한민국 전라북도 전주 덕진구,,,,,,https://hotels.naver.com/KR1000019/hotels/KYK1070723472?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전북,3,엘도라도모텔,Gunsan El Dorado,민박(Inn),2급,,임피면 동군산로 681,,,,,,https://hotels.naver.com/KR1000019/hotels/N5284558?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전북,4,호텔 에이엠,Gunsan hotel am,민박(Inn),1급,,부곡5길 9,8.3,,,,,https://hotels.naver.com/KR1000019/hotels/N5286172?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전북,5,남원 캐슬 드라이브인 무인호텔,Namwon Castle Drive-in Hotel,민박(Inn),1급,,전북특별자치도 남원시 주천면 원천로 291-21,9.2,,,,,https://hotels.naver.com/KR1000019/hotels/KYK1070294470?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전북,6,썬모텔,Gimje Sun,민박(Inn),2급,,진남길 16-9,,,,,,https://hotels.naver.com/KR1000019/hotels/N5281143?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전북,7,Buan Gyeokpo Gazatel,,민박(Inn),1급,,대한민국 전라북도 부안,,,,,,https://hotels.naver.com/KR1000019/hotels/KYK9037446?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전북,8,"Saeam, Jeongeup",,민박(Inn),1급,,대한민국 전라북도 정읍,,,,,,https://hotels.naver.com/KR1000019/hotels/KYK9489813?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전북,9,Iksan Seodong,,민박(Inn),1급,,대한민국 전라북도 전주,,,,,,https://hotels.naver.com/KR1000019/hotels/KYK8932906?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전북,10,익산 그곳에가면,Iksan Geugosegamyeon,민박(Inn),1급,,전북특별자치도 익산시 익산대로2길 13 (그곳에가면모텔),2.8,,,,,https://hotels.naver.com/KR1000019/hotels/KYK7232185?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,전북,11,Gimje Blue,,민박(Inn),3급,,대한민국 전라북도 김제,,,,,,https://hotels.naver.com/KR1000019/hotels/KYK1070681294?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,전북,12,Buan Wangpo Resort,,민박(Inn),1급,,대한민국 전라북도 부안,,,,,http://www.wangpo.co.kr/,https://hotels.naver.com/KR1000019/hotels/KYK9355940?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,전북,13,익산 샵,Iksan Syap,민박(Inn),,063-843-0107,전라북도 익산시 인북로6길 28 (인화동2가),,,,,,https://hotels.naver.com/KR1000019/hotels/KYK7232200?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,전북,14,Jeonju New Town Ssitu,,민박(Inn),,,대한민국 전라북도 전주 완산구,,,,,,https://hotels.naver.com/KR1000019/hotels/KYK8768490?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,전북,15,임실 리베라,Imsil Libera,민박(Inn),2급,,전북특별자치도 임실군 운암면 강운로 1281 (리베라모텔),,,,,,https://hotels.naver.com/KR1000019/hotels/KYK1070528087?adultCnt=2&pageIndex=2&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,전북,16,Wanju Daedunsan Mountain,,민박(Inn),,,대한민국 전라북도 완주군,,,,,,https://hotels.naver.com/KR1000019/hotels/KYK9489902?adultCnt=2&pageIndex=2&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
