idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전북,1,강령전,Gangneongjeon Hanok Stay,펜션,2급,010-7595-2252,태조로 26-24,8.5,,,,,https://hotels.naver.com/KR1000019/hotels/N3020266?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전북,2,흙집풍경,Muju Heukjip Punggyeong Pension,펜션,3급,,설천면 구천동로 2214,9.7,,,,http://www.xn--289ak56ctlh1zc.net/,https://hotels.naver.com/KR1000019/hotels/N5282229?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전북,3,훼미리하우스펜션,Family House Pension,펜션,3급,,전북 무주군 설천면 관동길 15,,,,,https://homepage.staymg.com/%EB%AC%B4%EC%A3%BC%ED%9B%BC%EB%AF%B8%EB%A6%AC%ED%95%98%EC%9A%B0%EC%8A%A4%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000019/hotels/KYK1070396594?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전북,4,무주펜션 꿈꾸는나무별,Muju Namubyul Pension,펜션,3급,,설천면 구천동1로 135-21,9.9,,,,http://www.namubyul.com/,https://hotels.naver.com/KR1000019/hotels/N5282210?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전북,5,체리스 펜션,Muju Cherish Pension,펜션,2급,010-8262-7070,설천면 보안길 50-32,9.1,,,,http://www.imuju.co.kr/,https://hotels.naver.com/KR1000019/hotels/N3644647?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전북,6,힐링리조트단풍마을휴,Healing Resort Maple Village hue,펜션,3급,,적상면 치목길 142-5,,,,,http://www.maplevill.com/,https://hotels.naver.com/KR1000019/hotels/KYK3559215?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전북,7,파라다이스 펜션,Paradise Pension,펜션,3급,063-322-0567,설천면 구천동로 924,,,,,http://mjparadise.co.kr/,https://hotels.naver.com/KR1000019/hotels/N2014725?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전북,8,메르팡 펜션,Gochang Merpang Pension,펜션,3급,,해리면 명사십리로 550-5,10,,,,http://www.merpang.co.kr/,https://hotels.naver.com/KR1000019/hotels/N5281954?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전북,9,부안 솔레이뷰 스파 펜션,Buan Solrayview Pension,펜션,3급,,전북 부안군 변산면 변산해변로 799-9,8.6,,,,http://www.soleiview.com/,https://hotels.naver.com/KR1000019/hotels/KYK7448152?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전북,10,바람의정원 펜션,Wind Garden Pension,펜션,3급,063-581-1234,변산면 변산로 3527,7.1,,,,http://www.windgarden.co.kr/,https://hotels.naver.com/KR1000019/hotels/N3867652?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,전북,11,전주한옥마을 마당예쁜집,Jeonju Hanok Madang Pretty House Pension,펜션,2급,010-4467-4877,향교길 79-8,8.2,,,,http://www.madangzip.kr/,https://hotels.naver.com/KR1000019/hotels/N3033248?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,전북,12,다숲펜션,Muju Dasup Pension,펜션,2급,,설천면 구천동1로 149,8.2,,,,http://dasup.kr/,https://hotels.naver.com/KR1000019/hotels/N5272949?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,전북,13,부안 토미앤스파 펜션,Buan Tomynspa Pension,펜션,3급,,변산면 대항길 67,9.2,10,,,http://tominspa.kr/,https://hotels.naver.com/KR1000019/hotels/KYK1070297385?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,전북,14,스테이 리조트,Buan Stay Resort,펜션,3급,063-583-9989,변산면 변산해변로 799-51,7.5,,,,,https://hotels.naver.com/KR1000019/hotels/N3645171?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,전북,15,나오스 펜션,Muju Naos Pension,펜션,3급,063-322-4448,설천면 외배방길 13,10,,,,http://www.naospension.com/,https://hotels.naver.com/KR1000019/hotels/N2014736?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,전북,16,한옥마당 펜션,Hanok Madang,펜션,2급,010-9494-4579,전주천동로 80-13,9.5,9.6,,,http://www.homemadang.com/,https://hotels.naver.com/KR1000019/hotels/N3644497?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,전북,17,고창 람사르펜션,Gochang Ramsar Pension,펜션,3급,,전북특별자치도 고창군 심원면 선운대로 2290-16,8.3,,,,http://ramsarpension.com/,https://hotels.naver.com/KR1000019/hotels/KYK1070494506?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,전북,18,정읍 브람스펜션a동,Jeongeup Brahms Pension A,펜션,3급,,전북 정읍시 내장산로 373,,,,,http://page.yapen.co.kr/34067,https://hotels.naver.com/KR1000019/hotels/KYK1070301277?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,전북,19,하이츠펜션,Buan (Byeonsanbando) Heights Pension,펜션,3급,010-9600-8254,변산면 변산로 3557,8.5,,,,http://heightsspa.co.kr/,https://hotels.naver.com/KR1000019/hotels/N3644620?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
