idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전북,1,베스트웨스턴플러스 전주호텔,Best Western Plus Jeonju Hotel,호텔,4급,063-231-7777,현무1길 41,8.1,7.9,3.8,4.4,http://www.bwplusjeonju.com/,https://hotels.naver.com/KR1000019/hotels/N5278661?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전북,2,호텔어라이브 전주 시화연풍,Hotelarrive Jeonju Sihwayeonpung,호텔,3급,063-286-2022,풍남문3길 9-5,8.8,8.1,,3.9,,https://hotels.naver.com/KR1000019/hotels/N5299838?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전북,3,라마다 군산 호텔,Ramada by Wyndham Gunsan,호텔,4성급,063-441-8000,대학로 400,8.4,8.2,4.6,4.2,http://www.ramadagunsan.com/,https://hotels.naver.com/KR1000019/hotels/N2793721?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전북,4,엘 타워 호텔,El Tower Hotel,호텔,3급,063-463-0860,부곡1길 52,8.8,8.6,,,http://hoteleltower.com/,https://hotels.naver.com/KR1000019/hotels/KYK733300?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전북,5,하운드호텔 전주 덕진점,Hound Hotel Jeonju Deokjin,호텔,3급,0507-1329-8743,덕진구 기린대로 532-6,9.5,,,,,https://hotels.naver.com/KR1000019/hotels/KYK7232503?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,전북,6,전주 시그니처 호텔,Jeonju Signature Hotel,호텔,4급,0507-1475-8023,백제대로 838,8.6,8.8,,4.5,http://www.jeonjusignature.com/,https://hotels.naver.com/KR1000019/hotels/N5303516?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,전북,7,전주 라임호텔,Jeonju Lime Hotel,호텔,3급,063-242-7300,아중4길 13-3,9,8.4,3.5,4.6,,https://hotels.naver.com/KR1000019/hotels/N2970776?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,전북,8,전주 왕의지밀 한옥호텔,Jeonju Wangyijimil Hanok Hotel,호텔,3급,063-284-1004,춘향로 5218-20,8.5,7.8,3.6,4.6,http://royalroom.co.kr/,https://hotels.naver.com/KR1000019/hotels/N4523930?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,전북,9,모항 해나루 호텔,Mohang Haenaru Family Hotel,호텔,3성급,063-580-0700,변산면 모항해변길 73,,,4,,http://www.haenaruhotel.co.kr/,https://hotels.naver.com/KR1000019/hotels/N2367462?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,전북,10,남원예촌 by 켄싱턴,Hanok Stay Namwonyechon by Kensington,호텔,3급,063-636-8001,광한북로 17,9,8.7,4.6,4.5,https://kensington.co.kr/hnw/,https://hotels.naver.com/KR1000019/hotels/N3012008?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
