idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,호스텔 린든,Linden Guesthouse,게스트하우스,1급,064-756-5506,"서광로 278, 6층",6.8,,4.6,,,https://hotels.naver.com/KR1000533/hotels/N1887242?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,제주 마실 게스트하우스,Jeju Masil Guesthouse,게스트하우스,2급,010-8699-0046,서광로2길 11-16,8.7,8.4,4.3,,,https://hotels.naver.com/KR1000533/hotels/N2007169?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,관음사 가는길 펜션,A Way to Gwaneumsa Temple,게스트하우스,2급,064-724-9931,산록북로 819,,,,,https://xn--o39azsj3as2jn9uz8i.kr/,https://hotels.naver.com/KR1000533/hotels/N3111383?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,미르 게스트하우스,Mir Guesthouse,게스트하우스,2급,064-900-2561,용담로7길 2,9,9,4.4,,http://www.mirguesthouse.com/,https://hotels.naver.com/KR1000533/hotels/N2664430?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,제주 문스스테이,Jeju Moons Stay,게스트하우스,3급,,용마로3길 6,9.8,,,,http://moonsstay.com/,https://hotels.naver.com/KR1000533/hotels/KYK7616209?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,똘내미집,Ddolnaemi House,게스트하우스,3급,,한림읍 협재로 45,,,,,,https://hotels.naver.com/KR1000533/hotels/N4523581?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,성산에오거들랑 게스트하우스,Seogwipo Seongsaneo Geodeulang Guesthouse Pension,게스트하우스,3급,,성산읍 고성동서로 13-7,,,,,http://seongsanoh.com/,https://hotels.naver.com/KR1000533/hotels/N4747598?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,간드락 게스트 하우스,Ganderak Guesthouse,게스트하우스,2급,064-742-8402,간월동로 12,8.9,8.8,5,,,https://hotels.naver.com/KR1000533/hotels/N2677638?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,예하 게스트하우스 본점,Yeha Guesthouse,게스트하우스,2급,064-724-5506,삼오길 9,8.4,8,4.5,,http://www.yehaguesthouse.com/,https://hotels.naver.com/KR1000533/hotels/N1880214?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,제주 알 호텔,Jeju R Hotel & Guesthouse,게스트하우스,2급,064-757-7735,서광로14길 5,8.1,,4.1,,http://site.onda.me/132254,https://hotels.naver.com/KR1000533/hotels/N2226888?adultCnt=2&pageIndex=1&propertyTypes=8&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
