idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,금호 제주 리조트,Kumho Jeju Resort,리조트,4급,064-766-8000,남원읍 태위로 522-12,8.3,7.7,4.1,4.2,https://www.kumhoresort.co.kr/resort/?khr=d1000,https://hotels.naver.com/KR1000533/hotels/N1740961?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,더 시에나 리조트,The Siena Resort,리조트,5급,064-735-7100,용흥로66번길 158-8,9.4,7.2,,4.7,https://thesiena.co.kr/content/resort,https://hotels.naver.com/KR1000533/hotels/N5304365?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,썬앤문 리조트,Sun and Moon Resort,리조트,4급,064-794-6633,안덕면 사계남로 102,9.2,9,4.8,4.8,http://www.sunandmoonjeju.com/,https://hotels.naver.com/KR1000533/hotels/N3020758?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,로긴 리조트,Login Resort,리조트,2성급,064-723-3333,서해안로 442-11,9.1,9.5,4,,http://www.loginresort.com/,https://hotels.naver.com/KR1000533/hotels/N2680706?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,한림리조트,Hallim Resort,리조트,4급,064-796-8231,한림읍 일주서로 5083-5,9.1,8.8,4,4.7,http://www.hallimresort.com/,https://hotels.naver.com/KR1000533/hotels/N1820590?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,제주 부영 리조트,Jeju Booyoung Resort,리조트,5급,064-731-5500,중문관광로 222,9.1,,,4.9,,https://hotels.naver.com/KR1000533/hotels/N5284399?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,담앤루 리조트,Dam and Roo Resort,리조트,3성급,064-739-6617,이어도로343번길 63,8.9,,3.8,4.5,http://www.damnroo.com/,https://hotels.naver.com/KR1000533/hotels/N2223621?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,롯데 리조트 아트 빌라스,Lotte Resort Jeju Artvillas,리조트,5급,064-731-9111,색달중앙로252번길 124,8.8,9.2,4.6,4.7,https://www.lotteresort.com/,https://hotels.naver.com/KR1000533/hotels/N1818426?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,올레 리조트,Olle Resort,리조트,3성급,064-799-9511,애월읍 부룡수길 33,8.8,7.9,3.9,4.1,https://www.olleresort.co.kr/,https://hotels.naver.com/KR1000533/hotels/N1824218?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,Mj리조트,Mj Resort,리조트,3급,064-783-2232,구좌읍 해맞이해안로 1651,9.6,9.6,4.8,4.9,http://www.mjresort.co.kr/,https://hotels.naver.com/KR1000533/hotels/N4018457?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,제주,11,제주 아모렉스 리조트,Amoureux Resort,리조트,3성급,064-711-0125,서해안로 216,7.5,7.9,3.7,4.1,http://www.amoureux.kr/,https://hotels.naver.com/KR1000533/hotels/N1820443?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,제주,12,물뜰에 쉼팡 리조트,Water Garden Resort,리조트,3급,064-796-0505,한림읍 귀덕로 73,7.6,,2.5,,http://xn--ig2bt0fe0hmtdbzv.com/,https://hotels.naver.com/KR1000533/hotels/N2915985?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,제주,13,와이 리조트 제주,Y Resort Jeju,리조트,3성급,064-794-7007,안덕면 화순중앙로124번길 75,8.8,8.9,4.6,4.8,http://www.yresort.co.kr/,https://hotels.naver.com/KR1000533/hotels/N1820599?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,제주,14,한화 리조트 제주,Hanwha Resort Jeju,리조트,3급,064-725-9000,명림로 575-107,8.3,8.3,3.6,4.2,http://www.hanwharesort.co.kr/,https://hotels.naver.com/KR1000533/hotels/N1659174?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,제주,15,기린빌라리조트 제주,Kylin Villa resort Jeju,리조트,4급,064-766-688,남원읍 서성로 427,8.9,8.6,,4.6,http://kylinvillaresort.com/,https://hotels.naver.com/KR1000533/hotels/N3018766?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,제주,16,소랑 풀빌라,Pool and Villa Sorang,리조트,3급,064-710-1000,조천읍 곱은달남길 218,8.5,8.3,,,http://sorangjeju.com/,https://hotels.naver.com/KR1000533/hotels/N2996877?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,제주,17,오크라 리조트,Oakra Resort,리조트,3급,,표선면 번영로 3189,9.3,,,,,https://hotels.naver.com/KR1000533/hotels/N5220423?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,제주,18,담모라 리조트,Dammora Resort,리조트,3급,064-792-6678,안덕면 일주서로 1975-11,8.1,6.8,5,4.2,http://www.dammora.com/,https://hotels.naver.com/KR1000533/hotels/N2226813?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,제주,19,에코그린 리조트,Eco Green Resort,리조트,4성급,064-796-8333,한림읍 귀덕6길 94,7.8,7.7,4,4.1,https://ecogreenresort.com/,https://hotels.naver.com/KR1000533/hotels/N2680688?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,제주,20,올레요 리조트,Olleyo Resort,리조트,3급,064-739-8558,이어도로 720,7.6,8.1,3.4,,http://www.jejuolleyo.com/,https://hotels.naver.com/KR1000533/hotels/N2007176?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,제주,21,제주 카이 리조트,Kai Resort,리조트,3급,064-796-2428,한림읍 협재2길 10,9,,4.4,4.7,http://jejukai.com/,https://hotels.naver.com/KR1000533/hotels/N2138092?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,제주,22,씨오르리조트,Seaore Resort,리조트,4급,064-739-0114,이어도로 989,8.9,8.9,3,,http://www.seaore.co.kr/,https://hotels.naver.com/KR1000533/hotels/N1618838?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,제주,23,제주 리조트,Jeju Resort,리조트,3급,064-745-5533,애월읍 가문동상4길 11,8.6,8.8,4.7,,http://jejuresort.kr/,https://hotels.naver.com/KR1000533/hotels/N2680788?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,제주,24,함덕 인피니티 펜션 리조트,Infinity Resort In Jeju,리조트,5급,064-782-8888,조천읍 조함해안로 378,,,,,,https://hotels.naver.com/KR1000533/hotels/N3011054?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,제주,25,오션스타콘도미니엄,Jeju Ocean Star Condominium,리조트,3급,,성산읍 섭지코지로 169,7.2,,,,,https://hotels.naver.com/KR1000533/hotels/N5279831?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,제주,26,오션스퀘어 리조트,Ocean Square Resort,리조트,3급,064-717-7300,성산읍 환해장성로 667,8.9,8.4,3.5,4.2,http://www.oceansquare.co.kr/,https://hotels.naver.com/KR1000533/hotels/N3774898?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,제주,27,마린포트 리조트,Marine Port Resort,리조트,3급,064-738-2277,이어도로 744,8.9,9.2,,,http://www.marineportresort.com/,https://hotels.naver.com/KR1000533/hotels/N2662230?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,제주,28,팜밸리 리조트,Palm Valley Pool Villa Resort,리조트,4급,064-738-0002,중산간서로 193,8.4,,2.4,,http://www.palmvalley.co.kr/,https://hotels.naver.com/KR1000533/hotels/N1879630?adultCnt=2&pageIndex=2&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
29,제주,29,제주 엠 리조트,Jeju M Resort,리조트,3급,064-739-3883,중산간서로157번길 28-6,8.7,8.5,,,http://jejum.kr/,https://hotels.naver.com/KR1000533/hotels/N3025772?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,제주,30,메가 리조트,Mega Resort,리조트,2급,064-772-9999,한경면 판포1길 6,7.4,7.2,3.5,3.1,https://jejumegaresort.com/,https://hotels.naver.com/KR1000533/hotels/N2664462?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,제주,31,서귀포월드컵리조트,Seogwipo Worldcup Resort,리조트,3급,064-739-3001,월드컵로45번길 40,8.5,,3.2,,http://www.worldcupresort.co.kr/,https://hotels.naver.com/KR1000533/hotels/N1660510?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
32,제주,32,비스타 리조트 제주,Vista Resort Jeju,리조트,3급,064-713-6631,서해안로 74,7.2,7.3,4.3,,http://www.vistajeju.com/,https://hotels.naver.com/KR1000533/hotels/N2664320?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
33,제주,33,콤마앤리조트,Comma&Spa Resort,리조트,3급,064-903-1177,안덕면 사계중앙로3번길 22,9.1,7.8,,,http://www.commajeju.com/,https://hotels.naver.com/KR1000533/hotels/N2916774?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
34,제주,34,클럽이에스 제주리조트,Club Es Jeju Resort,리조트,3급,064-739-3328,1100로 501,8.3,8.2,,,http://www.clubes.co.kr/,https://hotels.naver.com/KR1000533/hotels/N5258063?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
35,제주,35,나인스파빌 리조트,Nine Spavill Resort,리조트,3급,064-727-1000,제주특별자치도 제주시 애월읍 광령리 2970,9.4,,,,,https://hotels.naver.com/KR1000533/hotels/KYK10527445?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
36,제주,36,아름다운 리조트,Jeju Arumdaun Resort,리조트,1성급,064-782-1300,성산읍 해맞이해안로 2644,8.2,8.4,3.9,4.3,http://www.beautyjeju.co.kr/,https://hotels.naver.com/KR1000533/hotels/N1867240?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
37,제주,37,제주 헬스케어 타운,Healthcare Town Resort,리조트,3급,064-732-7990,동홍로 443,7.6,7.7,3,,http://www.jejuhctr.com/,https://hotels.naver.com/KR1000533/hotels/N3018664?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
38,제주,38,하모니 리조트,Harmony Resort,리조트,2급,064-796-4065,한림읍 협재로 213,9.4,9.1,,,http://www.jejuharmony.com/,https://hotels.naver.com/KR1000533/hotels/N2680667?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
39,제주,39,라벤더스 호텔&리조트,Lavenders,리조트,2급,064-739-0770,색달중앙로252번길 50,7.7,,,,,https://hotels.naver.com/KR1000533/hotels/N3610193?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
40,제주,40,제주하나리조트,Jeju Hana Resort,리조트,4급,1566-6095,성산읍 일주동로 4995,8.7,,,,,https://hotels.naver.com/KR1000533/hotels/N5287708?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
41,제주,41,포트 에비뉴 호텔&리조트,Port Avenue Hotel N Resort,리조트,3급,064-738-3910,대포동서로 63-19,7,,4,,,https://hotels.naver.com/KR1000533/hotels/N2007212?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
42,제주,42,나르샤 리조트,Narsha Resort,리조트,2급,064-792-8522,안덕면 사계북로 52,8.2,,3,,,https://hotels.naver.com/KR1000533/hotels/N2945008?adultCnt=2&pageIndex=3&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
43,제주,43,취다선 리조트,Chuidasun Resort Tea & Meditation,리조트,3급,064-735-1600,성산읍 해맞이해안로 2688,9.1,9.5,,4.7,http://www.chuidasun.com/,https://hotels.naver.com/KR1000533/hotels/N4679424?adultCnt=2&pageIndex=4&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
