idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,보보스 호텔,Bobos Hotel,모텔,3급,064-727-7200,서부두남길 20,8.5,,5,,http://100578.ministay.me/,https://hotels.naver.com/KR1000533/hotels/N3012190?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,호텔 이채,Echae Hotel,모텔,3급,064-749-2700,은남1길 3,6,,2.8,,,https://hotels.naver.com/KR1000533/hotels/N1754224?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,오라성모텔,Orasung Motel,모텔,3급,,서광로2길 15-1,7.9,8.3,,,,https://hotels.naver.com/KR1000533/hotels/N4354479?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,이그니스 무인텔,Ignis Jeju,모텔,3급,064-799-2300,애월읍 평화로 2496,8.8,,,,https://jejuignis.kr/,https://hotels.naver.com/KR1000533/hotels/N3643522?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,호텔 통 연동 제주,Hotel Tong Yeondong Jeju,모텔,3급,064-744-2193,사장1길 28,6.9,4.2,4.1,,http://www.hoteltongyeondong.com/,https://hotels.naver.com/KR1000533/hotels/N2917010?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,노블레스 호텔,Noblesse Hotel,모텔,3급,064-748-1500,연동8길 31,8.1,6.1,4,,http://27942.ministay.me/,https://hotels.naver.com/KR1000533/hotels/N2917012?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,올림피아호텔,Jeju Olympia,모텔,3급,,서광로 17,8.1,,,,http://www.olympiahotel-jeju.com/,https://hotels.naver.com/KR1000533/hotels/N5286549?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,퀸무인텔,Jeju Queen Self check-in Motel,모텔,2급,,애월읍 평화로 2540,2.9,,,,http://www.xn--v92bi8t7xgs6a.com/,https://hotels.naver.com/KR1000533/hotels/N5286102?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,런호텔,Hotel Run,모텔,2급,,태평로431번길 20,9,9.1,,,http://runhotel.co.kr/,https://hotels.naver.com/KR1000533/hotels/N4520601?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,모이라무인텔,Jeju Moira Self Check-in Motel,모텔,3급,,애월읍 광령평화8길 20,7.2,,,,,https://hotels.naver.com/KR1000533/hotels/N4746070?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
