idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,이그제큐티브홈 인 제주,Executive Home in Jeju,빌라,,,조천읍 조와로5길 26-4,10,,,,https://homepage.staymg.com/%EC%A0%9C%EC%A3%BC%EC%9D%B4%EA%B7%B8%EC%A0%9C%ED%81%90%ED%8B%B0%EB%B8%8C%ED%99%88%EC%9D%B8%EC%A0%9C%EC%A3%BC%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000533/hotels/KYK7125543?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,제주 다님 독채 풀빌라 펜션,Jeju Danim Dokchae Poolvilla,빌라,,,영평5길 68,,,,,http://pf.kakao.com/_ggYxnb,https://hotels.naver.com/KR1000533/hotels/KYK9189827?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,제주 스테이삼달오름,jeju seuteisamdaloreum,빌라,,,성산읍 삼달하동로17번길 15-3,8,,,,http://stay-samdal.com/,https://hotels.naver.com/KR1000533/hotels/KYK8534190?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,김녕 돌담 독채 풀빌라,Gimnyeong Stonewall Private Pool Villa,빌라,,,구좌읍 선유로 66 (구좌읍),,,,,https://doldam.h2yo.kr/,https://hotels.naver.com/KR1000533/hotels/KYK1072909619?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,테바즈,Tebaz,빌라,,,조천읍 일주동로 1594,,,,,https://homepage.staymg.com/%EC%A0%9C%EC%A3%BC%ED%85%8C%EB%B0%94%EC%A6%88%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000533/hotels/KYK1071937810?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,부띠끄풀빌라 나미브,Namib Pool Villa Jeju,빌라,,,한경면 판포4길 41-41,8.9,9.3,,,http://www.namibjeju.co.kr/,https://hotels.naver.com/KR1000533/hotels/N5281246?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,서귀포 스마트 풀 빌라,Seogwipo Smart Pool Villa,빌라,,,표선면 세성로 67-28,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK1071856341?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,서귀포 대정 지니 풀빌라,Daejung secret gennie poolvilla,빌라,,,대정읍 노을해안로 216-4,,,,,https://site.onda.me/127898,https://hotels.naver.com/KR1000533/hotels/KYK1070476984?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,Noelle's \'Cozy Jeju Home share\' for Jeju travelers. (women only),,빌라,,,대한민국 제주도 제주시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK5149389?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,Jeju Eedo,,빌라,,,대한민국 제주도 제주시,10,,,,http://www.eedojeju.com/,https://hotels.naver.com/KR1000533/hotels/KYK1071071937?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,제주,11,서귀포 히네니 독채펜션,Seogwipo Hineni Private House,빌라,,,보목포로 197,,,,,https://hinenijeju.imweb.me/,https://hotels.naver.com/KR1000533/hotels/KYK1072120993?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,제주,12,카이로스스테이,Kairosjeju Boutique Stay,빌라,,,대한민국 제주도 제주시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK10529247?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,제주,13,제주 미아 프라이빗 풀빌라,Jeju Mia Private Pool Villa large outdoor warm pool,빌라,,,애월읍 유수암북길 98,,,,,http://xn--oi2b18fd5b47kfru.com/,https://hotels.naver.com/KR1000533/hotels/KYK9586261?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,제주,14,Feel Jeju-do's original village and small beach at Jooha's Jejudo House.,,빌라,,,대한민국 제주도 제주시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK11086215?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,제주,15,"Korea’s Jeju Island villa – private pool, jacuzzi, and lush tropical charm",,빌라,,,대한민국 제주도 제주시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK11184252?adultCnt=2&pageIndex=2&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
