idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,위미궁펜션,Wi-Mi Goong,콘도,,,남원읍 태위로398번길 26,,,,,http://wemegoong.net/,https://hotels.naver.com/KR1000533/hotels/KYK7917025?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,브릭하우스,Aewol Brick House,콘도,,,애월읍 신엄로 52,,,,,http://brickhouse.kr/,https://hotels.naver.com/KR1000533/hotels/N5279259?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,해돋이황토마을,Haedoji Hwangto Town,콘도,,,애월읍 상가로4길 21-20,,,,,,https://hotels.naver.com/KR1000533/hotels/N4995455?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,여촌스테이,Stay Reposo,콘도,,,성산읍 환해장성로 233-14,7.9,,,,,https://hotels.naver.com/KR1000533/hotels/N5272608?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,함덕 서우재,Hamdeok Seowoojae,콘도,,,조천읍 평사길 19,,,,,http://hamdeokseowoojae.com/,https://hotels.naver.com/KR1000533/hotels/N5280545?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,월령코지펜션,Wolryung Cozy Pension,콘도,,,대한민국 제주도 제주시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK1070303862?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,Living In Jeju,,콘도,,,대한민국 제주도 서귀포시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK7608780?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,엠버 리조트,Amber Resort Jeju,콘도,,064-744-0056,1100로 2671-51,8.8,,,,,https://hotels.naver.com/KR1000533/hotels/N2982973?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,마녀가 탄 빗자루 펜션,Witch's broomstick Pension,콘도,,064-799-7749,애월읍 고내로13길 73,8.6,,,,,https://hotels.naver.com/KR1000533/hotels/N3038936?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,비아신엄 하우스,Via Shinum House,콘도,,064-799-5115,애월읍 애월해안로 560,4,,,,,https://hotels.naver.com/KR1000533/hotels/N2375425?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,제주,11,빌라노이 제주,Villanoi Jeju,콘도,,064-792-6448,안덕면 산방로288번길 48,,,,,,https://hotels.naver.com/KR1000533/hotels/N3026080?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,제주,12,다락 락힐 펜션,Rockhill Pension,콘도,,,애월읍 애월해안로 284,,,,,,https://hotels.naver.com/KR1000533/hotels/N5258132?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,제주,13,웨딩민박,Wedding House,콘도,,064-787-9080,표선면 가시로 338,,,,,,https://hotels.naver.com/KR1000533/hotels/N3889260?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,제주,14,나무랑 펜션,Namurang Pension,콘도,,,표선면 성읍이리로 85,,,,,,https://hotels.naver.com/KR1000533/hotels/N5278143?adultCnt=2&pageIndex=1&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,제주,15,Full ocean view from entire condo. 2Beds/1bath with free parking,,콘도,,,대한민국 제주도 제주시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK10792864?adultCnt=2&pageIndex=2&propertyTypes=17&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
