idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,더베이 제주 리조트,The Bay Jeju Resort,펜션,3급,064-732-8500,문필로35번길 46,7.9,,4,,,https://hotels.naver.com/KR1000533/hotels/N2007392?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,제주 에코 스위츠,Jeju Eco Suites,펜션,3급,064-738-9975,중문상로 207-13,8.9,8.9,4.8,,http://www.jejueco.com/,https://hotels.naver.com/KR1000533/hotels/N1888186?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,모던 플레이스,Jeju Modern Place,펜션,3급,064-738-1024,상예로 262,10,,,,http://www.modernplace.co.kr/,https://hotels.naver.com/KR1000533/hotels/N2944739?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,남매비펜션,Namme,펜션,3급,010-9290-0467,애월읍 하광로 505,,,,,,https://hotels.naver.com/KR1000533/hotels/N2513849?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,제주 바다그린하우스,Jeju Badagreen Pension,펜션,3급,,용마서1길 23,9.6,,,,,https://hotels.naver.com/KR1000533/hotels/KYK8584939?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,서귀포 늘바다 애견동반펜션,Seogwipo Neulbada Pet Pension,펜션,3급,,제주특별자치도 서귀포시 안덕면 대평로 38,8.4,,,,,https://hotels.naver.com/KR1000533/hotels/KYK5392037?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,남태재 펜션,Stone Statue Village Hanok,펜션,3급,010-6495-0601,남원읍 태위로894번길 42,,,,,,https://hotels.naver.com/KR1000533/hotels/N2662064?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,이로 펜션,Iro Jeju,펜션,2급,064-738-3816,안덕면 대평감산로 75,9.9,,4.3,,http://www.irojeju.com/,https://hotels.naver.com/KR1000533/hotels/N2007092?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,W오션 펜션,W Ocean Pension,펜션,3급,010-3807-7953,대포로 32-4,9,8.8,,,http://www.wocean.co.kr/,https://hotels.naver.com/KR1000533/hotels/N3645366?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,바다랑 파도랑 펜션,Sea and Wave,펜션,3급,,남원읍 태위로 594-10,7.8,,,,https://badarang.h2yo.kr/,https://hotels.naver.com/KR1000533/hotels/N3155403?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,제주,11,서귀포 제주 봄 스테이 펜션,Jeju Bom Stay,펜션,3급,064-732-6500,검은여로130번길 68-16,9,8.9,4.7,,http://www.jeju-bom.com/,https://hotels.naver.com/KR1000533/hotels/N2228210?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,제주,12,성산 보물섬 펜션,Bomulsum,펜션,3급,064-784-0039,성산읍 한도로242번길 10-11,8.1,,,,https://bomulseom.h2yo.kr/,https://hotels.naver.com/KR1000533/hotels/N3867996?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
