idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,거문오름 호스텔,Geomunoreum Hostel,호스텔,2급,064-782-9977,조천읍 선교로 434-2,5.6,,2.8,,http://hostel.co.kr/,https://hotels.naver.com/KR1000533/hotels/N2806231?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,아르본 리조트,Arbon Resort,호스텔,2급,064-799-1177,애월읍 평화로 2482,6.5,,,,http://jejuarbon.com/,https://hotels.naver.com/KR1000533/hotels/N3011022?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,백패커스인 제주,Backpackers in Jeju City Center,호스텔,2급,,광양8길 1-1,,,4.5,,,https://hotels.naver.com/KR1000533/hotels/N1875327?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,제주 TS 유스호스텔 리조트,Jeju Ts Youthhostel Resort,호스텔,2급,064-764-8100,남원읍 남조로 861-78,8,,,,,https://hotels.naver.com/KR1000533/hotels/N3069378?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,미도 호스텔,Mido Hostel,호스텔,2급,010-5762-7627,동문동로 13-1,8.5,8.7,4.8,,https://www.midohostel.com/,https://hotels.naver.com/KR1000533/hotels/N2944671?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,한라 게스트하우스,Halla Guest House,호스텔,1급,,서광로 278 7층,6.3,,,,,https://hotels.naver.com/KR1000533/hotels/KYK10337414?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,제주 아지 호스텔,A Ji Hostel,호스텔,2급,064-722-1296,무근성7길 16-13,6.2,,3.7,,http://aziso1011.blog.me/,https://hotels.naver.com/KR1000533/hotels/N2662535?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,로피하우스,Lofy house,호스텔,1급,,중앙로1길 12,6.7,4.9,,,,https://hotels.naver.com/KR1000533/hotels/KYK9041883?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,낯선하루,A Strange Day Guesthouse - Hostel,호스텔,2급,,신양로122번길 30-8,,,,,,https://hotels.naver.com/KR1000533/hotels/N4525229?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,아이리스호텔,Iris Hotel,호스텔,2급,,솔동산로 16-1,8.1,,,,,https://hotels.naver.com/KR1000533/hotels/N5280246?adultCnt=2&pageIndex=1&propertyTypes=5&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
