idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,그랜드 조선 제주,Grand Josun Jeju,호텔,5성급,064-738-6600,중문관광로72번길 60,9.2,9,4.5,4.7,https://gjj.josunhotel.com/main.do,https://hotels.naver.com/KR1000533/hotels/N5279751?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,타마라 제주,Tamara Jeju,호텔,3급,064-738-0009,김정문화로41번길 10-8,8.4,7.8,,4.0,http://www.tamarajeju.co.kr/,https://hotels.naver.com/KR1000533/hotels/N5281702?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,스타즈 호텔 제주 로베로점,Jeju Robero,호텔,3급,064-757-7111,관덕로 26,8.1,7.2,3.6,3.9,,https://hotels.naver.com/KR1000533/hotels/N1053560?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,호텔 빠레브,Bareve Hotel,호텔,4성급,064-735-8899,김정문화로 15,8.3,7.8,4.1,4.4,http://www.barevehotel.com/,https://hotels.naver.com/KR1000533/hotels/N2200600?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,호텔 레오,Hotel Leo,호텔,4성급,064-754-7000,삼무로 14,9,8.6,4.5,4.3,http://www.hotelleo.co.kr/,https://hotels.naver.com/KR1000533/hotels/N2547752?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,롯데시티호텔 제주,LOTTE City Hotel Jeju,호텔,4성급,064-730-1000,도령로 83,8.8,8.4,4.4,4.7,https://www.lottehotel.com/jeju-city/ko,https://hotels.naver.com/KR1000533/hotels/N2198012?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,호텔 리젠트 마린 더 블루,Hotel Regentmarine The Blue,호텔,4급,064-717-5000,서부두2길 20,8.7,8.4,4.1,4.4,http://hotelrmblue.com/,https://hotels.naver.com/KR1000533/hotels/N2924803?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,호텔 시리우스,Hotel Sirius,호텔,4성급,064-743-1147,도령로 133,8.6,8.1,4.1,4.3,http://hotelsirius.co.kr/,https://hotels.naver.com/KR1000533/hotels/N3887294?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,메종 글래드 제주,Maison Glad Jeju,호텔,5성급,064-747-5000,노연로 80,8.7,7.8,4.5,4.4,https://www.glad-hotels.com/maisongladjeju/index.do,https://hotels.naver.com/KR1000533/hotels/N1053566?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,메리어트관 제주신화월드 호텔앤리조트,Marriott Jeju Shinhwa World Hotels & Resorts,호텔,5성급,064-908-8888,안덕면 신화역사로 304번길 38,8.4,8.6,4.7,4.6,https://www.shinhwaworld.com/hotelma.jhtml,https://hotels.naver.com/KR1000533/hotels/N3610024?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,제주,11,호텔더그랑 서귀포,Hotel The Grang Seogwipo,호텔,3급,0507-1332-4093,중정로 16,9.6,9.3,2.8,4.7,https://www.agoda.com/ko-kr/hotel-the-grang-seogwipo/hotel/jeju-kr.html,https://hotels.naver.com/KR1000533/hotels/N5303520?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
