idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,제주,1,다올스테이,Jeju Daol Stay,홈스테이,,,제주 제주시 애월읍 광상로 303,,,,,http://daolstay.co.kr/,https://hotels.naver.com/KR1000533/hotels/KYK10358191?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,제주,2,조은하우스 서귀포 독채펜션,Seogwipo Joeun House Pensio,홈스테이,,,중산간서로 253-12,,,,,,https://hotels.naver.com/KR1000533/hotels/N5284522?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,제주,3,제주 플랜트101독채풀빌라,Jeju Plant 101 Private Pool Villa,홈스테이,,,제주 서귀포시 안덕면 평화로319번길 62,,,,,http://www.plant101.co.kr/,https://hotels.naver.com/KR1000533/hotels/KYK9382478?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,제주,4,Seogwipo Yuchaekkotgire Meomunsigan Pension,,홈스테이,,,대한민국 제주도 서귀포시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK1071418210?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,제주,5,제주 요나고래,Jeju Yonah Whale,홈스테이,,,제주특별자치도 제주시 애월읍 신엄연대길 37,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK10359259?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,제주,6,오름게스트하우스,Jeju Oreum Guesthouse,홈스테이,,,구좌읍 충렬로 147-19,,,,,,https://hotels.naver.com/KR1000533/hotels/N4746129?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,제주,7,Jeju Hasom Byeoldam Pension,,홈스테이,,,대한민국 제주도 제주시,,,,,https://homepage.staymg.com/%EC%A0%9C%EC%A3%BC%ED%95%98%EC%86%9C%EB%B3%84%EB%8B%B4%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000533/hotels/KYK9386132?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,제주,8,Jeju Hello Sea Pension,,홈스테이,,,대한민국 제주도 제주시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK1070821412?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,제주,9,seogwipo seumateupulbilra,,홈스테이,,,대한민국 제주도 서귀포시,8.6,,,,,https://hotels.naver.com/KR1000533/hotels/KYK7445149?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,제주,10,Seogwipo Stay in Sanbangsan Pension,,홈스테이,,,대한민국 제주도 서귀포시,,,,,,https://hotels.naver.com/KR1000533/hotels/KYK1070811550?adultCnt=2&pageIndex=1&propertyTypes=23&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
