idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,충남,1,오슈 펜션,Anmyeongdo Oshu,모텔,3급,041-675-5225,남면 안면대로 1722-67,8.2,,,,http://page.yapen.co.kr/20955,https://hotels.naver.com/KR1000008/hotels/N3644344?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,충남,2,파인모텔,Pine Motel,모텔,2급,041-931-7172,해수욕장2길 9,6.6,,,,,https://hotels.naver.com/KR1000008/hotels/N3030767?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,충남,3,넘버25 호텔 공주신관점,Gongju No 25 Hotel,모텔,3급,,전막1길 6-33,8.3,,,,,https://hotels.naver.com/KR1000008/hotels/N5280028?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,충남,4,골프무인텔,Buyeo Golf Self Check-In Motel,모텔,2급,,규암면 서궁로 147-1,8.6,,,,,https://hotels.naver.com/KR1000008/hotels/N5284578?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,충남,5,해송모텔,Anmyeondo Haesong,모텔,3급,,남면 안면대로 1722-71,8.5,,,,,https://hotels.naver.com/KR1000008/hotels/N5281141?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,충남,6,자우리 호텔,Dangjin Jawoori,모텔,3급,041-430-7979,석문면 통정3길 30,7.7,,,,,https://hotels.naver.com/KR1000008/hotels/N3566051?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,충남,7,아비숑 호텔,Cheonan Ikkulim Hotel Abichon Main Building,모텔,3급,041-578-8283,양지10길 6,8.8,,4,,http://buyinhotel.co.kr/,https://hotels.naver.com/KR1000008/hotels/N2947088?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,충남,8,공주 스테이 오늘,Gongju Stay Today,모텔,2급,,충청남도 공주시 전막2길 16-4,10,,,,,https://hotels.naver.com/KR1000008/hotels/KYK1070525506?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,충남,9,E모텔,Cheonan E,모텔,3급,041-565-8822,신부15길 8,10,,,,,https://hotels.naver.com/KR1000008/hotels/N3939670?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,충남,10,세븐무인텔,Taean Seven Self Check-in Motel,모텔,3급,,남면 천수만로 365-67,8.1,,,,,https://hotels.naver.com/KR1000008/hotels/N5282045?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,충남,11,남당 오션판타지 호텔,Hongseong Ocean Fantasy Hotel,모텔,2급,041-633-9103,서부면 남당항로435번길 31,5.5,,,,,https://hotels.naver.com/KR1000008/hotels/N3941397?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,충남,12,보령(대천) 드라마,Boryeong Drama,모텔,2급,,충청남도 보령시 머드로 176-7,8.6,,,,,https://hotels.naver.com/KR1000008/hotels/KYK1070573854?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
