idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,충남,1,골드휴,anmyeondo gold hue pension,펜션,3급,,안면읍 풍어제길 44-13,8.8,,,,http://goldhue.co.kr/,https://hotels.naver.com/KR1000008/hotels/N5278708?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,충남,2,보령(오천) 더반힐글램핑&리조트펜션,Boryeong Durbanhill Resort Pension,펜션,3급,,충청남도 보령시 오천면 오천해안로 557 (더반힐),8.4,,,,http://durbanhill.co.kr/,https://hotels.naver.com/KR1000008/hotels/KYK7230270?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,충남,3,펜타펜션,Boryeong Penta Pension,펜션,3급,,해수욕장3길 11-21,8,,,,,https://hotels.naver.com/KR1000008/hotels/N5283539?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,충남,4,카카오펜션,Boryeong (Daecheon) Kakao Pension,펜션,3급,,고잠2길 26-12,,,,,http://kakaopension.net/,https://hotels.naver.com/KR1000008/hotels/N4012747?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,충남,5,태안 더씨사이드펜션,Taean The sea side Pension,펜션,1급,,근흥면 용도로 126-12,9.3,9,,,http://www.theseaside.co.kr/,https://hotels.naver.com/KR1000008/hotels/KYK1070250290?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,충남,6,달몽펜션,Hongseong Dalmong Pension,펜션,3급,,충남 홍성군 서부면 남당항로435번길 16-20,9.5,,,,http://www.dalmong.co.kr/,https://hotels.naver.com/KR1000008/hotels/KYK9356067?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,충남,7,태안 파라다이스펜션,Anmyeondo paradise pension,펜션,3급,,안면읍 해안관광로 123,8.8,,,,http://paradiseps.kr/,https://hotels.naver.com/KR1000008/hotels/KYK1070301697?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,충남,8,세인 펜션,Boryeong (Daecheon) Sain Pension,펜션,2급,041-936-0954,해수욕장9길 2-5,10,,,,http://sainpension.com/,https://hotels.naver.com/KR1000008/hotels/N3643547?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,충남,9,대천힐링펜션,Boryeong (Daecheon) Healing Pension,펜션,3급,,고잠2길 22,,,,,http://www.healingpension.com/,https://hotels.naver.com/KR1000008/hotels/N5285384?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,충남,10,태안 몽산포추억펜션,Taean Mongsanpo Memory Pension,펜션,3급,,충청남도 태안군 남면 몽대로 512-87,8.3,,,,http://mongsanpomemory.com/,https://hotels.naver.com/KR1000008/hotels/KYK1070301479?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,충남,11,네이비블루 펜션,Taean (Anmyeondo) Navy Blue Pension,펜션,3급,041-673-0250,안면읍 삼봉길 224-3,9.9,,,,http://navyblueps.kr/,https://hotels.naver.com/KR1000008/hotels/N3642880?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,충남,12,대천아도니스,Boryeong (Daecheon) Adonis Pension,펜션,3급,,머드로 134,8,,,,http://www.adonispension.com/,https://hotels.naver.com/KR1000008/hotels/N5285310?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,충남,13,보령 르네상스펜션스테이,Boryeong (Daecheon) Renaissance Pension Stay,펜션,3급,,충청남도 보령시 대해로 881,6.2,,,,,https://hotels.naver.com/KR1000008/hotels/KYK7230255?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,충남,14,몽산포 파인펜션,Mongsan142 Pension,펜션,3급,,남면 몽산포길 142,8.9,,,,http://pineps.kr/,https://hotels.naver.com/KR1000008/hotels/N5282098?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,충남,15,여름이야기 펜션,Boryeong Summer Story Pension,펜션,3급,,고잠2길 4-21,,,,,http://www.dcsstroy.com/,https://hotels.naver.com/KR1000008/hotels/N5258189?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,충남,16,태안 비치 리조트 펜션,Taeahn Beach Resortel,펜션,2급,,근흥면 마도길 116,7.2,6.5,,,http://taeanbeachresortel.kr/,https://hotels.naver.com/KR1000008/hotels/KYK8807455?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,충남,17,씨송 펜션,Taean seesong pension,펜션,2급,041-673-8338,안면읍 흑석동길 32,8.3,10,,,https://seansong.kr/,https://hotels.naver.com/KR1000008/hotels/N3646221?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,충남,18,퍼스트펜션,First Pension,펜션,3급,041-673-9858,근흥면 연포2길 78,6.3,,,,http://page.yapen.co.kr/24493,https://hotels.naver.com/KR1000008/hotels/N3232720?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,충남,19,보령 가인펜션,Boryeong (Daecheon) Gain Pension,펜션,3급,,충청남도 보령시 해수욕장13길 14-24,,,,,,https://hotels.naver.com/KR1000008/hotels/KYK1070297052?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,충남,20,태안 블레스오션펜션,Taean Bless Ocean Pension,펜션,3급,,충청남도 태안군 근흥면 용도로 126-18,8.7,,,,http://blessocean.co.kr/,https://hotels.naver.com/KR1000008/hotels/KYK1070528472?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,충남,21,안면도시에스타펜션,Taean Siesta Pension,펜션,3급,,남면 용궁길 107,9,,,,http://www.siestapension.com/,https://hotels.naver.com/KR1000008/hotels/N5278266?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,충남,22,보령(대천) 해날펜션,Boryeong Haenal Pension,펜션,2급,,충청남도 보령시 해수욕장9길 1,10,,,,http://www.m.haenalpension.com/,https://hotels.naver.com/KR1000008/hotels/KYK1070525520?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,충남,23,다윈하우스,Darwin House,펜션,3급,010-9459-7401,웅천읍 열린바다로 508,10,,,,http://www.darwinhouse.co.kr/,https://hotels.naver.com/KR1000008/hotels/N3878167?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,충남,24,파티파티펜션,Taean party pension,펜션,2급,,남면 청포대길 84,9.3,,,,http://www.partypartypension.com/,https://hotels.naver.com/KR1000008/hotels/N5279895?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,충남,25,펜션 아침바다,Taean The Morning Sea Pension,펜션,3급,,안면읍 해안관광로 878-50,10,,,,http://achimbada.co.kr/,https://hotels.naver.com/KR1000008/hotels/N5278201?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,충남,26,보령 리하우스 펜션,Boryeong Lehouse Pension,펜션,4급,,웅천읍 열린바다2길 12,,,,,https://yuhouse.kr/,https://hotels.naver.com/KR1000008/hotels/KYK1070615314?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,충남,27,태안 더클래식펜션,Taean The Classic Spa Pension,펜션,3급,041-675-0059,남면 청포대길 B57-60,,,,,http://www.theclassicps.com/,https://hotels.naver.com/KR1000008/hotels/N3875927?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,충남,28,태안 몽산포솔모래펜션,Mongsanpo Solmorae Pension,펜션,3급,,충청남도 태안군 남면 달산포로 161-12 (몽산포솔모레펜션),,,,,http://solmorae.com/,https://hotels.naver.com/KR1000008/hotels/KYK1070301696?adultCnt=2&pageIndex=2&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
29,충남,29,대천 별밤펜션,Byeolbam Pension,펜션,3급,,해수욕장9길 23,,,,,http://www.starrynightpension.kr/,https://hotels.naver.com/KR1000008/hotels/N5258171?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,충남,30,바다의아침,Taean (Anmyeondo) Badaui Achim Pension,펜션,3급,,남면 몽산포길 186-5,,,,,http://www.oceanmorning.kr/,https://hotels.naver.com/KR1000008/hotels/N5281961?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,충남,31,보령 티라셀 펜션,Boryeong Thirasel Pension,펜션,3급,,웅천읍 열린바다로 371-9,,10,,,https://thirasel.kr/,https://hotels.naver.com/KR1000008/hotels/KYK1070548966?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
32,충남,32,태안 갤러리 펜션,Gallery Pension,펜션,3급,010-4089-5743,고남면 옷점길 147-90,8.8,,5,,http://www.gallerypension.kr/,https://hotels.naver.com/KR1000008/hotels/N1986062?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
33,충남,33,모닝글로리 펜션,Taean Yeonpo Stay,펜션,2급,041-673-0411,근흥면 연포2길 4-7,9.7,,,,https://homepage.staymg.com/%ED%83%9C%EC%95%88%EC%97%B0%ED%8F%AC%EC%8A%A4%ED%85%8C%EC%9D%B4,https://hotels.naver.com/KR1000008/hotels/N3644345?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
34,충남,34,보령 소담펜션,Boryeong (Daecheon) Pension Myung Jin,펜션,3급,,충청남도 보령시 고잠2길 4-13,,,,,,https://hotels.naver.com/KR1000008/hotels/KYK1070333010?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
35,충남,35,대천 즐겨찾기 펜션,Boryeong Daecheon Favorite Pension,펜션,2급,041-933-3803,고잠2길 16-6,9.1,,,,http://www.fvpension.com/,https://hotels.naver.com/KR1000008/hotels/N3645686?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
36,충남,36,꽃지통나무펜션,Anmyeondo Kkochji Tongnamu Pension,펜션,3급,,안면읍 꽃지1길 151,,,,,https://tong-namoo.my.canva.site/,https://hotels.naver.com/KR1000008/hotels/N4919868?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
37,충남,37,태안(안면도) 블루아라펜션,Taean Blue Ara Pension,펜션,2급,,충청남도 태안군 안면읍 해안관광로270,8.4,,,,,https://hotels.naver.com/KR1000008/hotels/KYK1070528182?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
38,충남,38,태안 베이테라스펜션,Taean Bay Terrace Pension,펜션,3급,,충청남도 태안군 근흥면 용도로 410-110,,,,,http://www.bayterrace.co.kr/,https://hotels.naver.com/KR1000008/hotels/KYK7233953?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
39,충남,39,모웨나 펜션,Taean Morwenna Pension,펜션,3급,,고남면 안면대로 4478-46,8.6,,,,http://www.morwenna.co.kr/,https://hotels.naver.com/KR1000008/hotels/N5278717?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
40,충남,40,조약돌펜션,Pebbles Pension,펜션,3급,,안면읍 방포1길 46,,,,,http://pebble3518.com/,https://hotels.naver.com/KR1000008/hotels/N5281318?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
41,충남,41,바다소리펜션,Boryeong (Daecheon) Badasori Pension,펜션,3급,,새마을1길 88,2.8,,,,https://badasoripension.imweb.me/,https://hotels.naver.com/KR1000008/hotels/N5283669?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
42,충남,42,블루베리펜션,Blueberry Pension,펜션,3급,,남면 우운길 56-17,,,,,http://www.myblueberry.co.kr/,https://hotels.naver.com/KR1000008/hotels/N5278736?adultCnt=2&pageIndex=3&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
43,충남,43,나폴리펜션,Taean Napoli Pension,펜션,3급,,남면 청포대길 96,9.6,,,,http://www.napolipension.com/,https://hotels.naver.com/KR1000008/hotels/N4736101?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
44,충남,44,태안 너랑나랑,Nuhrang Nahrang,펜션,4급,,소원면 만리포2길 104-3,8.3,,,,http://www.unipension.kr/,https://hotels.naver.com/KR1000008/hotels/KYK7233079?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
45,충남,45,맘마미아펜션,Taean Mamma Mia Pension,펜션,3급,,소원면 만리포1길 42-14,10,,,,,https://hotels.naver.com/KR1000008/hotels/N4943612?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
46,충남,46,바닷길풍경,Taean Sea Road Scenery Pension,펜션,3급,,남면 몽대로 464,,,,,http://xn--289a21ae8hvnltrld2qe8f.kr/,https://hotels.naver.com/KR1000008/hotels/N5282086?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
47,충남,47,태안 레이펜션,Taean Rei Pension,펜션,3급,,충남 태안군 남면 청포대길 104,9.2,,,,http://www.reipension.com/,https://hotels.naver.com/KR1000008/hotels/KYK1070528299?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
48,충남,48,지중해아침,Taean (Anmyeondo) Mediterranean Morning Pension,펜션,3급,,고남면 큰장돌길 141-98,9.3,,,,http://www.jijunghaeachim.co.kr/,https://hotels.naver.com/KR1000008/hotels/N4872658?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
49,충남,49,대천보헤미안펜션,Bohemian Pension,펜션,2급,041-933-5426,고잠2길 20-8,,,,,,https://hotels.naver.com/KR1000008/hotels/N3644874?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
50,충남,50,꽃지아일랜드 펜션,Taean (Anmyeondo) Kkotji Island Pension,펜션,3급,010-7379-7260,안면읍 안면대로 2986-6,7.6,,,,,https://hotels.naver.com/KR1000008/hotels/N3645671?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
51,충남,51,준펜션,Boryeong (Daecheon) Joon Pension,펜션,3급,,해수욕장13길 11,7.9,,,,http://www.joonpension.com/,https://hotels.naver.com/KR1000008/hotels/N5283333?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
52,충남,52,유투펜션,Daecheon U2 Pension,펜션,2급,041-935-5800,해수욕장9길 16-6,,,,,http://www.u2pension.com/,https://hotels.naver.com/KR1000008/hotels/N3642973?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
53,충남,53,카카오스토리,Kakao Story Pension,펜션,3급,,고잠2길 8-15,3.2,,,,http://kakaostorypension.com/,https://hotels.naver.com/KR1000008/hotels/N5258160?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
54,충남,54,별둘펜션,Boryeong Byeoldul Pension,펜션,3급,,고잠2길 20-2,5.4,,,,http://byeoldul.com/,https://hotels.naver.com/KR1000008/hotels/N5279160?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
55,충남,55,보령 파도소리펜션,Boryeong (Daecheon) Padosori Pension,펜션,2급,,충청남도 보령시 해수욕장12길 6-34 (신흑동),9.9,,,,http://www.padosoripension.kr/,https://hotels.naver.com/KR1000008/hotels/KYK1070297097?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
56,충남,56,보령 다올펜션,Boryeong (Daecheon) Da All Pension,펜션,3급,,충청남도 보령시 해수욕장13길 14-16 (숙박시설),,,,,http://www.daallpension.com/,https://hotels.naver.com/KR1000008/hotels/KYK1070291537?adultCnt=2&pageIndex=4&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
57,충남,57,소풍펜션,Boryeong Sopung Pension,펜션,3급,,고잠2길 8-13,,,,,http://picnic01.bizonworks.com/,https://hotels.naver.com/KR1000008/hotels/N5285415?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
58,충남,58,태안 라르고펜션(연포해수욕장),Taean Largo Pension (Yeonpo Beach),펜션,3급,,충청남도 태안군 근흥면 연포2길 76-11,8.8,,,,http://xn--299a54rhqb59n8xx.com/,https://hotels.naver.com/KR1000008/hotels/KYK1070700111?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
59,충남,59,태안 안면도 빨강펜션,Anmyeondo Bbalgang Pension,펜션,3급,,안면읍 황도로 535-5,5.2,,,,,https://hotels.naver.com/KR1000008/hotels/KYK9192895?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
60,충남,60,오션힐리조트펜션,Taean Oceanhill Resort Pension,펜션,3급,,남면 곰섬로 430-37,7.9,,,,http://xn--oy2b93li7djvc97tr6g.com/,https://hotels.naver.com/KR1000008/hotels/N2696187?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
61,충남,61,대천허브펜션,Boryeong (Daecheon) hub Pension,펜션,3급,,고잠2길 20-7,6.9,,,,http://www.daecheonhub.com/,https://hotels.naver.com/KR1000008/hotels/N4525672?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
62,충남,62,태안 연포 2020 펜션,Taean Yeonpo 2020 Pension,펜션,2급,,근흥면 연포2길 69,9,,,,https://xn--2020-uk0s446d.kr/,https://hotels.naver.com/KR1000008/hotels/KYK1070784425?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
63,충남,63,행복한테라스펜션,Taean Haengbokan Terrace Pension,펜션,3급,,안면읍 삼봉길 161,9.6,,,,https://page.yapen.co.kr/28381,https://hotels.naver.com/KR1000008/hotels/N5282355?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
64,충남,64,팜비치펜션,Taean (Anmyeondo) Palm Beach Pension,펜션,3급,,남면 청포대길 57-34,,,,,http://www.pbpension.co.kr/,https://hotels.naver.com/KR1000008/hotels/N5282375?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
65,충남,65,보령 이글 스파크 펜션,Boryoung eagle spark pension,펜션,3급,,고잠2길 4-35,9.9,,,,http://www.theeagles.kr/,https://hotels.naver.com/KR1000008/hotels/KYK7230280?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
66,충남,66,태안 만리포힐링펜션,Taean Manripo Healing Pension,펜션,3급,,충청남도 태안군 소원면 만리포2길96,8.4,,,,http://healingps.com/,https://hotels.naver.com/KR1000008/hotels/KYK9181606?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
67,충남,67,태안 아띠랑스비치 펜션,Taean Atirans Beach Pension,펜션,3급,,남면 별주부길 116,,,,,https://xn--vh2brdq7t81e6xdsus.com/,https://hotels.naver.com/KR1000008/hotels/KYK1072572715?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
68,충남,68,휴양림 통나무집,Forest Cabin Pension,펜션,3급,,안면읍 송림길 3-90,,,,,http://forestcabin.co.kr/,https://hotels.naver.com/KR1000008/hotels/N5278190?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
69,충남,69,드림 펜션,Anmyeondo Dream Pension,펜션,2급,041-672-7030,안면읍 수해길 286,8.2,,,,http://dreampension.net/,https://hotels.naver.com/KR1000008/hotels/N3644090?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
70,충남,70,마마 펜션,Boryeong Mama Pension,펜션,2급,010-2635-6288,고잠2길 16-3,9.3,,,,http://mama12.co.kr/,https://hotels.naver.com/KR1000008/hotels/N3193956?adultCnt=2&pageIndex=5&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
71,충남,71,아일랜드 펜션,Anmyeondo Island Pension,펜션,3급,041-672-8667,안면읍 가락금길 180-30,,,,,,https://hotels.naver.com/KR1000008/hotels/N3644311?adultCnt=2&pageIndex=6&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
72,충남,72,태안(안면도) 오늘오후펜션,Taean (Anmyeondo) Today's afternoon pension,펜션,3급,,충청남도 태안군 안면읍 풍어제길 65-12,8.3,,,,http://www.xn--wh1br48aba831o.kr/,https://hotels.naver.com/KR1000008/hotels/KYK7511832?adultCnt=2&pageIndex=6&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
73,충남,73,썬셋빌 펜션,Anmyeon-do Island Sunset Vill,펜션,3급,,안면읍 안면대로 3098,,,,,http://ssvill.infotown.kr/,https://hotels.naver.com/KR1000008/hotels/N5278726?adultCnt=2&pageIndex=6&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
74,충남,74,썬샤인 관광펜션,Boryeong (Daecheon) Sunshine Pension,펜션,3급,,해수욕장13길 14-18,,,,,http://www.dcsunshine.com/,https://hotels.naver.com/KR1000008/hotels/N5129603?adultCnt=2&pageIndex=6&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
75,충남,75,보령 대천 하이 펜션,Boryeong Daecheon High Pension,펜션,3급,,고잠2길 24,9,,,,http://dchipension.com/,https://hotels.naver.com/KR1000008/hotels/KYK1070297061?adultCnt=2&pageIndex=6&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
76,충남,76,보령 대천해수욕장 펜션 큰하늘,Boryeong Daecheon Beach Pension Big Sky,펜션,2급,,충청남도 보령시 고잠2길4-9,,,,,http://www.bigsky.kr/,https://hotels.naver.com/KR1000008/hotels/KYK1070524961?adultCnt=2&pageIndex=6&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
