idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,충남,1,어반스테이 당진터미널,Urbanstay Dangjin Terminal,호텔,4급,0507-1387-7694,수청5길 38,8.6,,,,https://ur.ustay.kr/w4o1q3,https://hotels.naver.com/KR1000008/hotels/N5305219?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,충남,2,메리머드호텔,Merrymud Hotel,호텔,2급,041-933-3366,해수욕장8길 52,8.3,7,,4.6,http://merrymud.co.kr/,https://hotels.naver.com/KR1000008/hotels/N4856818?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,충남,3,발레리조트,Bale Resort,호텔,3급,041-935-4500,해안로 450,7.7,,,,https://baleresort.com/,https://hotels.naver.com/KR1000008/hotels/KYK7233464?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,충남,4,더 시티 호텔,Nonsan The City Hotel,호텔,1급,,충청남도 논산시 계백로 1008-4,7.5,,,4.6,http://coconutz.kr/4661,https://hotels.naver.com/KR1000008/hotels/KYK7379999?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,충남,5,저스트 슬립 호텔 당진 터미널 브랜치,Just Sleep Hotel Dangjin Terminal Branch,호텔,3급,,충청남도 당진시 밤절로 168,9.7,,,,,https://hotels.naver.com/KR1000008/hotels/KYK9187784?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,충남,6,브라운도트호텔 홍성내포점,Browndot Hotel Hongseong Naepo,호텔,3급,0507-1484-8344,홍성읍 내포로 42,8,,,,http://hsbrowndot-hotelandspa.com/,https://hotels.naver.com/KR1000008/hotels/KYK10547713?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,충남,7,슈어스테이 플러스 호텔 바이 베스트웨스턴 아산점,Hotel Asan (Korea Quality),호텔,3급,041-548-3030,탕정면 온샘로 32,10,,,,http://as-surestay.jalib.site/,https://hotels.naver.com/KR1000008/hotels/KYK10545250?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,충남,8,호텔 로하스,Hotel Lohas,호텔,2급,041-931-7667,해수욕장10길 10,7.4,6.9,3,,,https://hotels.naver.com/KR1000008/hotels/N3772915?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,충남,9,레이크힐 호텔,"Lake Hill Hotel, Nonsan, Chungcheongnam-do",호텔,2급,,가야곡면 탑정로 872,10,,,,http://www.hotellakehill.com/,https://hotels.naver.com/KR1000008/hotels/N5304751?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,충남,10,토모노야 호텔&료칸 대천점,Tomonoya Hotel & Ryokan Daecheon,호텔,3급,041-933-7970,해안로 341,7.7,7.8,,4.0,https://tomonoyadc.co.kr/,https://hotels.naver.com/KR1000008/hotels/N5286755?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,충남,11,보령 아이오션풀빌라,Boryeong I-Ocean Pool Villa,호텔,4급,,해수욕장10길 18,,9.5,,,https://wanju-office.my.canva.site/iocean,https://hotels.naver.com/KR1000008/hotels/KYK1070588625?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,충남,12,호텔공산,Hotel Gongsan,호텔,1급,,전막3길 20,9.7,,,,,https://hotels.naver.com/KR1000008/hotels/KYK1070682484?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,충남,13,본호텔,Gyeryong Hotel Bon,호텔,3급,042-840-7080,서금암2길 13-4,,,,,,https://hotels.naver.com/KR1000008/hotels/N4558413?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,충남,14,안면도 프라자 호텔,Anmyeondo Plaza Hotel,호텔,3급,041-672-8847,안면읍 방포로 29-5,5.9,,3.5,,http://anmyeonplaza.com/,https://hotels.naver.com/KR1000008/hotels/N2683865?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,충남,15,호텔 라그라스 아산점,Hotel Laglas Asan,호텔,3급,,충무로8번길 22,7.7,7.9,,4.8,https://hotellaglas.creatorlink.net/,https://hotels.naver.com/KR1000008/hotels/KYK1071904749?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,충남,16,스플라스 리솜,Splas Resom,호텔,5급,041-330-8000,덕산면 온천단지3로 45-7,,,3.5,4.4,http://www.resom.co.kr/spa,https://hotels.naver.com/KR1000008/hotels/N3775147?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,충남,17,온양 관광호텔,Onyang Hot Spring Hotel,호텔,3성급,041-540-1000,온천대로 1459,6.9,,3.3,3.6,http://www.onyanghotel.co.kr/,https://hotels.naver.com/KR1000008/hotels/N1719595?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,충남,18,공주 초이 한옥호텔,Gongju Choi Hanok Hotel,호텔,3급,,충청남도 공주시 미나리1길 10-3,8.4,,,,http://xn--wk5bzxn6j13en1f0mb.com/,https://hotels.naver.com/KR1000008/hotels/KYK8092023?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
