idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,충북,1,제천 K2,Jecheon K2,모텔,3급,043-651-0811,충청북도 제천시 내토로41안길 52,4.4,,,,,https://hotels.naver.com/KR1000003/hotels/KYK7232352?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,충북,2,케이스호텔부띠끄 제천점,Jecheon Case Hotel,모텔,2급,,내토로 20길 6,8.2,,,,,https://hotels.naver.com/KR1000003/hotels/N5282186?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,충북,3,더킹 호텔,Cheongju The King Hotel,모텔,3급,,율량로202번길 60,8.8,,,,,https://hotels.naver.com/KR1000003/hotels/N4749184?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,충북,4,M모텔,Jecheon M Motel,모텔,3급,043-652-8855,내토로 537,9.7,,,,,https://hotels.naver.com/KR1000003/hotels/N5283822?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,충북,5,쟈스민 호텔,Hotel Jasmine,모텔,3급,043-214-1901,내수읍 내수학평길 78,,,4.4,,https://www.jasminehotel.co.kr/,https://hotels.naver.com/KR1000003/hotels/N1714779?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,충북,6,두바이호텔,Dubai Hotel,모텔,2급,,사직대로350번길 96,8.5,,,,,https://hotels.naver.com/KR1000003/hotels/N4988489?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,충북,7,더잠모텔,Cheongju The Zam,모텔,3급,,내덕로8번길 16,,,,,,https://hotels.naver.com/KR1000003/hotels/N4996418?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,충북,8,청주 호텔 페르소나,Cheongju Hotel Persona,모텔,3급,,충청북도 청주시 흥덕구 짐대로72번길 10-2,8.4,,,,,https://hotels.naver.com/KR1000003/hotels/KYK4087182?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,충북,9,충주 로즈힐,Chungju Rose Hill,모텔,2급,,충청북도 충주시 애향로 66-1,9.9,,,,,https://hotels.naver.com/KR1000003/hotels/KYK7230665?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,충북,10,루체 호텔,Cheongju Luce Business Hotel,모텔,3급,043-235-6668,풍년로205번길 39,7.4,,,,,https://hotels.naver.com/KR1000003/hotels/N2922881?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,충북,11,청주 프렌치코드,Cheongju French Code,모텔,3급,,충청북도 청주시 청원구 내덕로 24-2(우암동),8.9,,,,http://frenchcodehotel.co.kr/,https://hotels.naver.com/KR1000003/hotels/KYK1070526797?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,충북,12,와모텔,Cheongju Wa,모텔,3급,,내덕로27번길 21,4.8,,,,,https://hotels.naver.com/KR1000003/hotels/N5284810?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,충북,13,충주이너스호텔,Chungju The Inners Hotel,모텔,3급,,성서2길 19,3.1,,,,http://cafe.daum.net/inusmotel,https://hotels.naver.com/KR1000003/hotels/N5282798?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,충북,14,블랙앤화이트모텔,Eumseong Black & White,모텔,2급,,대소면 신내로391번길 157,10,,,,,https://hotels.naver.com/KR1000003/hotels/N5280381?adultCnt=2&pageIndex=1&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,충북,15,토론토 모텔,Toronto Hotel,모텔,3급,,중앙로 6-9,7.1,,,,,https://hotels.naver.com/KR1000003/hotels/N5014249?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,충북,16,브라운도트 호텔 청주점,Brown Dot Cheongju City Hall Branch,모텔,3급,043-224-9507,교서로32번길 32-2,7.5,,,,,https://hotels.naver.com/KR1000003/hotels/N3018285?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,충북,17,초콜릿 비지니스 관광호텔,Cheongju Hotel Chocolate,모텔,3급,,1순환로 552,9.4,,,,https://booking.naver.com/booking/3/bizes/491995,https://hotels.naver.com/KR1000003/hotels/N5282789?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,충북,18,토마토모텔,Cheongju Bungmunro Tomato,모텔,2급,,상당로115번길 31-4,8,,,,,https://hotels.naver.com/KR1000003/hotels/N5258431?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
19,충북,19,K 모텔,Chungju K Motel,모텔,2급,,상방7길 34,9,,,,,https://hotels.naver.com/KR1000003/hotels/N4558453?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,충북,20,진천 소풍짝 무인텔,Jincheon Sopoong unmanned hotel Drive-in,모텔,3급,,충청북도 진천군 덕산읍 귀농2길 63,8.5,,,,,https://hotels.naver.com/KR1000003/hotels/KYK7232583?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,충북,21,파스타모텔,Cheongju Pasta,모텔,3급,,무심동로354번길 11,,,,,,https://hotels.naver.com/KR1000003/hotels/N4746902?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,충북,22,코코 호텔,Cheongju Coco Hotel,모텔,3급,,짐대로72번길 17,6.8,,,,,https://hotels.naver.com/KR1000003/hotels/N4113721?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,충북,23,청주 썸호텔,Cheongju Sum Hotel,모텔,3급,,상당구 무심동로336번길 100-16,9.4,,,,,https://hotels.naver.com/KR1000003/hotels/KYK4744065?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,충북,24,피아노모텔,Chungju Piano Motel,모텔,2급,,애향로 38,4.8,,,,,https://hotels.naver.com/KR1000003/hotels/N5282806?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,충북,25,2S모텔,Jincheon 2S,모텔,3급,,광혜원면 화랑3길 3,8.7,,,,,https://hotels.naver.com/KR1000003/hotels/N5283804?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,충북,26,호텔얌 충북대점,Cheongju Yam Chungbuk University,모텔,3급,0503-5053-0735,충대로14번길 9,8.2,,,,,https://hotels.naver.com/KR1000003/hotels/N4735794?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,충북,27,청주 엘그린,Cheongju Elgreen,모텔,3급,,충청북도 청주시 상당구 무심동로 364-8 (서문동),10,,,,,https://hotels.naver.com/KR1000003/hotels/KYK7230546?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,충북,28,아리아 무인호텔,Cheongju Aria Self check-in Motel,모텔,3급,043-223-5425,남사로93번길 27-2,8.3,,,,,https://hotels.naver.com/KR1000003/hotels/N3557229?adultCnt=2&pageIndex=2&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
29,충북,29,벨로무인텔,Jecheon Bello Self check-in Motel,모텔,3급,,송학면 북부로 3520,8,,,,,https://hotels.naver.com/KR1000003/hotels/N5283829?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,충북,30,아크라모텔,Jincheon Accra,모텔,3급,,광혜원면 장기1길 19-1,,,,,http://xn--oi2b53d02moslh7a.com/,https://hotels.naver.com/KR1000003/hotels/N5283783?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,충북,31,벨리노호텔,Cheongju Bellino,모텔,3급,,경산로15번길 15,8.2,,,,http://www.bellinohotel.com/,https://hotels.naver.com/KR1000003/hotels/N5282783?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
32,충북,32,괴산 낙원모텔,Goesan Nagwon Motel,모텔,2급,,충청북도 괴산군 문광면 모래재로 1399 (낙원장모텔),7.3,,,,,https://hotels.naver.com/KR1000003/hotels/KYK7231560?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
33,충북,33,음성 첼로,Eumseong Cello,모텔,3급,,충청북도 음성군 금왕읍 대금로 1629,10,,,,,https://hotels.naver.com/KR1000003/hotels/KYK7234196?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
34,충북,34,청주N모텔,Cheongju Yongam Sloth Hotel,모텔,3급,,월평로184번길 123,,,,,,https://hotels.naver.com/KR1000003/hotels/N5279959?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
35,충북,35,오아시스모텔,Chungju Oasis,모텔,3급,043-854-3456,삼원로 35,,,,,,https://hotels.naver.com/KR1000003/hotels/N3659622?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
36,충북,36,레인모텔,Jecheon Rain,모텔,2급,,명륜로12길 8,10,,,,,https://hotels.naver.com/KR1000003/hotels/N5283816?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
37,충북,37,꿈의 궁전 모텔,Boeun Kkumui Gungjeon,모텔,3급,043-544-6007,수한면 안내보은로 1249,,,,,,https://hotels.naver.com/KR1000003/hotels/N3111390?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
38,충북,38,호텔오션,Cheongju Hotel Ocean,모텔,3급,043-231-2477,경산로5번길 15,8.5,,,,,https://hotels.naver.com/KR1000003/hotels/N3050443?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
39,충북,39,크림모텔,Chungju Cream Drive-In,모텔,3급,,동량면 보라매로 25,,,,,,https://hotels.naver.com/KR1000003/hotels/N5284705?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
40,충북,40,시안호텔,Xian Hotel,모텔,3급,043-237-8611,경산로5번길 11,7.5,8,,,,https://hotels.naver.com/KR1000003/hotels/N3559927?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
41,충북,41,충주 큐브,Chungju Cube,모텔,1급,,"충청북도 충주시 상방7길 7-1, 외 1필지(봉방동)",9.8,,,,http://0437242001.tshome.co.kr/,https://hotels.naver.com/KR1000003/hotels/KYK1070524169?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
42,충북,42,모텔32일,Yeongdong 32 Days,모텔,2급,043-745-1317,영동읍 계산로 43-2,8.9,,,,,https://hotels.naver.com/KR1000003/hotels/N3659610?adultCnt=2&pageIndex=3&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
43,충북,43,호텔 크라운,Cheongju Miel Hotel,모텔,4급,043-296-5210,월평로184번길 130,,,,,,https://hotels.naver.com/KR1000003/hotels/N3032185?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
44,충북,44,W모텔,Jecheon W,모텔,2급,,내토로29길 2,8.7,,,,,https://hotels.naver.com/KR1000003/hotels/N5283830?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
45,충북,45,클래식 모텔,Cheongju Hotel Classic,모텔,2급,043-234-5958,풍산로34번길 18,6.1,,4.5,,,https://hotels.naver.com/KR1000003/hotels/N3024162?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
46,충북,46,웰파크,Chungju Well Park,모텔,2급,043-857-4646,앙성면 가곡로 1282,,,,,,https://hotels.naver.com/KR1000003/hotels/N3659359?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
47,충북,47,옥천 리베라,Okcheon Rivera,모텔,2급,,충청북도 옥천군 옥천읍 성왕로 1288,10,,,,,https://hotels.naver.com/KR1000003/hotels/KYK8200240?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
48,충북,48,아모르 모텔,Amore Motel,모텔,2급,043-255-6222,상당로115번길 11,9.2,,,,http://stay.yanolja.com/motels/detail.php?placeNo=28226,https://hotels.naver.com/KR1000003/hotels/N3028607?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
49,충북,49,진천 G7 무인호텔(증평-오창점),Jincheon G7 Unmanned Hotel (Jeungpyeong-Ochang Branch),모텔,1급,,충청북도 진천군 초평면 구정로 121-9,9.6,,,,,https://hotels.naver.com/KR1000003/hotels/KYK1070524490?adultCnt=2&pageIndex=4&propertyTypes=1&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
