idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,충북,1,펜션소백산가는길,Danyang Sobaeksanganeungil Pension,펜션,3급,,단양읍 다리안로 629,9.6,,,,http://so100.co.kr/,https://hotels.naver.com/KR1000003/hotels/N4012854?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,충북,2,충주풍경펜션,Chungju Landscape Pension,펜션,3급,010-2963-9869,목벌길 502-1,6,,,,http://www.landscape-ps.com/,https://hotels.naver.com/KR1000003/hotels/N3645422?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,충북,3,제천 클라우드펜션 (청풍호케이블카),Jecheon Cloud Pension (Cheongpungho Cable Car),펜션,3급,,충청북도 제천시 수산면 봉화재2길45,,,,,http://www.xn--hy1bu3cnvnkqf70brvl28g12g.kr/,https://hotels.naver.com/KR1000003/hotels/KYK7448637?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,충북,4,부엉이펜션,Danyang Owl Pension,펜션,3급,,가곡면 새밭로 632,9.7,,,,https://homepage.staymg.com/%EB%8B%A8%EC%96%91%EB%B6%80%EC%97%89%EC%9D%B4%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000003/hotels/N5130899?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,충북,5,팔경 펜션,Danyang Eight Views of Danyang Pension,펜션,3급,043-422-3555,단성면 선암계곡로 1434,9.6,,,,http://www.xn--289az0j34nr7dfoumxa.kr/,https://hotels.naver.com/KR1000003/hotels/N3643353?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,충북,6,한드미하우쓰,Danyang Handemy House Pension,펜션,3급,,가곡면 새밭로 634,8.4,,,,http://handemyhouse.kr/,https://hotels.naver.com/KR1000003/hotels/N5130875?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,충북,7,충주 충주호수마을펜션,Chungju Hosumauel Pension,펜션,3급,,충청북도 충주시 충주호수로 1034-1,8.8,,,,https://hosuvillage.creatorlink.net/,https://hotels.naver.com/KR1000003/hotels/KYK7230658?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,충북,8,숲속의 하얀 펜션,Boeun Supsogui Hayan Pension,펜션,3급,,산외면 내북산외로 346-76,7.9,,,,http://www.xn--sk4bvdouz9hoxcl82a0yc.com/,https://hotels.naver.com/KR1000003/hotels/N5278034?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,충북,9,괴산 화양계곡도명산펜션,Hwayang Gyegok Domyeongsan Pension,펜션,2급,,충청북도 괴산군 청천면 도경로 76-151,10,,,,https://homepage.staymg.com/%EA%B4%B4%EC%82%B0%ED%99%94%EC%96%91%EA%B3%84%EA%B3%A1%EB%8F%84%EB%AA%85%EC%82%B0%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000003/hotels/KYK7231558?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,충북,10,단양 들꽃정원펜션,Danyang Wild Flower Garden Pension,펜션,3급,,충청북도 단양군 단성면 선암계곡로 1001-1,10,,,,https://homepage.staymg.com/%EB%8B%A8%EC%96%91%EB%93%A4%EA%BD%83%EC%A0%95%EC%9B%90%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000003/hotels/KYK1070701653?adultCnt=2&pageIndex=1&propertyTypes=7&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
