idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,충북,1,호텔 뮤제오,Hotel Museo Cheongju,호텔,3성급,043-267-3200,가로수로1164번길 41-20,8.5,8.5,4.3,,http://www.hotelmuseo.co.kr/,https://hotels.naver.com/KR1000003/hotels/N3037867?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,충북,2,충북 혁신도시 나무호텔,Namoo Hotel Chungbuk Innocity,호텔,3급,043-882-8866,맹동면 장성5길 14,8.9,,4,,,https://hotels.naver.com/KR1000003/hotels/N2696058?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,충북,3,호텔 웨스트 오브 가나안,Hotel West of Canaan (Korea Quality),호텔,3급,,175-1 수옥정길,9.2,,,4.3,https://www.westofcanaan.com/,https://hotels.naver.com/KR1000003/hotels/KYK7597463?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,충북,4,괴산 호텔 더킹,Goesan Hotel The King,호텔,1급,,충청북도 괴산군 괴산읍 읍내로15길 30,,,,,,https://hotels.naver.com/KR1000003/hotels/KYK10237479?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,충북,5,수안보 파크 호텔,Suanbo Park Hotel,호텔,2성급,043-846-2331,수안보면 탑골1길 36,7.8,,3.6,3.9,http://www.suanbopark.co.kr/,https://hotels.naver.com/KR1000003/hotels/N1833562?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,충북,6,수안보 온천 힐링 호텔,Suanbo Hot Spring Healing Hotel,호텔,2급,043-855-5454,수안보면 수안보로 219,7.8,7.5,,,http://suanbohotsprings.kr/,https://hotels.naver.com/KR1000003/hotels/N3501198?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,충북,7,하운드호텔 제천역,Jecheon Hound Hotel,호텔,3급,043-648-9193,의림대로 33,8.8,8.4,,4.3,,https://hotels.naver.com/KR1000003/hotels/N5304211?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,충북,8,충주 어반브라운호텔,Urban Brown Hotel Chungju City Hall,호텔,2급,,충청북도 충주시 연수상가길 6,8.8,8.5,,,,https://hotels.naver.com/KR1000003/hotels/KYK1070524361?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
9,충북,9,글로스터호텔 청주,Gloucester Hotel Cheongju,호텔,,043-909-5000,대농로 47-2,8.6,8.2,,4.4,http://www.gloucester.co.kr/,https://hotels.naver.com/KR1000003/hotels/N5303389?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
10,충북,10,청주 메리제인 호텔,Cheongju Maryjane Hotel,호텔,3급,043-234-1845,짐대로72번길 13,8.2,,4,4.6,http://cjmaryjanehotel.jalib.site/,https://hotels.naver.com/KR1000003/hotels/N3050437?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
11,충북,11,마리 호텔,Mari Hotel,호텔,3급,043-857-2055,봉방8길 26,8.7,,,,http://marihotel-chungju.com/,https://hotels.naver.com/KR1000003/hotels/KYK9462629?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
12,충북,12,일라이트 호텔,Illite Hotel,호텔,3급,043-921-0000,영동읍 영동힐링로 159,10,,,,https://illitegolfnresort.co.kr/resort/main,https://hotels.naver.com/KR1000003/hotels/N5305144?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
13,충북,13,호텔 더베이스,Hotel The Base,호텔,3급,043-848-9900,호암대로 8,8.3,,,,http://www.hotelthebase.com/,https://hotels.naver.com/KR1000003/hotels/N2367589?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
14,충북,14,충주 토론토 호텔,Chungju Toronto Hotel,호텔,3급,,충청북도 충주시 애향로 1,8.6,,,,,https://hotels.naver.com/KR1000003/hotels/KYK1070245940?adultCnt=2&pageIndex=1&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
15,충북,15,브라운도트 호텔 충주시청점,Brown Dot Hotel Chungju City Hall,호텔,3급,,연수상가길 18,,,,,,https://hotels.naver.com/KR1000003/hotels/KYK10020088?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
16,충북,16,충주 그랜드 호텔,Chungju Grand Hotel,호텔,3급,043-848-5554,중원대로 3496,8.1,,3.2,,http://www.cjgrand.co.kr/,https://hotels.naver.com/KR1000003/hotels/N1924191?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
17,충북,17,더반 호텔,Theban Hotel,호텔,2급,,대소원면 메가폴리스2로 63,10,,,,https://booking.naver.com/booking/3/bizes/327504,https://hotels.naver.com/KR1000003/hotels/KYK8308470?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
18,충북,18,청주 나무 호텔,Cheongju Namoo Hotel,호텔,3급,043-253-6666,명암로293번길 45,7.9,5.5,4.1,,http://www.namoohotel.com/,https://hotels.naver.com/KR1000003/hotels/N2666644?adultCnt=2&pageIndex=2&propertyTypes=0&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
